,id_code,experiment,plate,well,sirna,well_type,img_path_root,cell_type
35,HEPG2-01_1_H19,HEPG2-01,1,H19,15,positive_control,train/HEPG2-01/Plate1/H19_s2,HEPG2
36,HEPG2-01_1_H22,HEPG2-01,1,H22,0,positive_control,train/HEPG2-01/Plate1/H22_s1,HEPG2
37,HEPG2-01_1_H22,HEPG2-01,1,H22,0,positive_control,train/HEPG2-01/Plate1/H22_s2,HEPG2
38,HEPG2-01_1_J03,HEPG2-01,1,J03,14,positive_control,train/HEPG2-01/Plate1/J03_s1,HEPG2
39,HEPG2-01_1_J03,HEPG2-01,1,J03,14,positive_control,train/HEPG2-01/Plate1/J03_s2,HEPG2
40,HEPG2-01_1_J07,HEPG2-01,1,J07,24,positive_control,train/HEPG2-01/Plate1/J07_s1,HEPG2
41,HEPG2-01_1_J07,HEPG2-01,1,J07,24,positive_control,train/HEPG2-01/Plate1/J07_s2,HEPG2
42,HEPG2-01_1_J11,HEPG2-01,1,J11,16,positive_control,train/HEPG2-01/Plate1/J11_s1,HEPG2
43,HEPG2-01_1_J11,HEPG2-01,1,J11,16,positive_control,train/HEPG2-01/Plate1/J11_s2,HEPG2
44,HEPG2-01_1_J15,HEPG2-01,1,J15,26,positive_control,train/HEPG2-01/Plate1/J15_s1,HEPG2
45,HEPG2-01_1_J15,HEPG2-01,1,J15,26,positive_control,train/HEPG2-01/Plate1/J15_s2,HEPG2
46,HEPG2-01_1_J19,HEPG2-01,1,J19,20,positive_control,train/HEPG2-01/Plate1/J19_s1,HEPG2
47,HEPG2-01_1_J19,HEPG2-01,1,J19,20,positive_control,train/HEPG2-01/Plate1/J19_s2,HEPG2
48,HEPG2-01_1_J22,HEPG2-01,1,J22,22,positive_control,train/HEPG2-01/Plate1/J22_s1,HEPG2
49,HEPG2-01_1_J22,HEPG2-01,1,J22,22,positive_control,train/HEPG2-01/Plate1/J22_s2,HEPG2
50,HEPG2-01_1_M03,HEPG2-01,1,M03,28,positive_control,train/HEPG2-01/Plate1/M03_s1,HEPG2
51,HEPG2-01_1_M03,HEPG2-01,1,M03,28,positive_control,train/HEPG2-01/Plate1/M03_s2,HEPG2
52,HEPG2-01_1_M07,HEPG2-01,1,M07,25,positive_control,train/HEPG2-01/Plate1/M07_s1,HEPG2
53,HEPG2-01_1_M07,HEPG2-01,1,M07,25,positive_control,train/HEPG2-01/Plate1/M07_s2,HEPG2
54,HEPG2-01_1_M11,HEPG2-01,1,M11,4,positive_control,train/HEPG2-01/Plate1/M11_s1,HEPG2
55,HEPG2-01_1_M11,HEPG2-01,1,M11,4,positive_control,train/HEPG2-01/Plate1/M11_s2,HEPG2
56,HEPG2-01_1_M15,HEPG2-01,1,M15,21,positive_control,train/HEPG2-01/Plate1/M15_s1,HEPG2
57,HEPG2-01_1_M15,HEPG2-01,1,M15,21,positive_control,train/HEPG2-01/Plate1/M15_s2,HEPG2
58,HEPG2-01_1_M19,HEPG2-01,1,M19,11,positive_control,train/HEPG2-01/Plate1/M19_s1,HEPG2
59,HEPG2-01_1_M19,HEPG2-01,1,M19,11,positive_control,train/HEPG2-01/Plate1/M19_s2,HEPG2
60,HEPG2-01_1_M22,HEPG2-01,1,M22,3,positive_control,train/HEPG2-01/Plate1/M22_s1,HEPG2
61,HEPG2-01_1_M22,HEPG2-01,1,M22,3,positive_control,train/HEPG2-01/Plate1/M22_s2,HEPG2
62,HEPG2-01_1_O18,HEPG2-01,1,O18,30,negative_control,train/HEPG2-01/Plate1/O18_s1,HEPG2
63,HEPG2-01_1_O18,HEPG2-01,1,O18,30,negative_control,train/HEPG2-01/Plate1/O18_s2,HEPG2
64,HEPG2-01_2_B02,HEPG2-01,2,B02,30,negative_control,train/HEPG2-01/Plate2/B02_s1,HEPG2
65,HEPG2-01_2_B02,HEPG2-01,2,B02,30,negative_control,train/HEPG2-01/Plate2/B02_s2,HEPG2
66,HEPG2-01_2_C03,HEPG2-01,2,C03,26,positive_control,train/HEPG2-01/Plate2/C03_s1,HEPG2
67,HEPG2-01_2_C03,HEPG2-01,2,C03,26,positive_control,train/HEPG2-01/Plate2/C03_s2,HEPG2
68,HEPG2-01_2_C07,HEPG2-01,2,C07,10,positive_control,train/HEPG2-01/Plate2/C07_s1,HEPG2
69,HEPG2-01_2_C07,HEPG2-01,2,C07,10,positive_control,train/HEPG2-01/Plate2/C07_s2,HEPG2
70,HEPG2-01_2_C11,HEPG2-01,2,C11,18,positive_control,train/HEPG2-01/Plate2/C11_s1,HEPG2
71,HEPG2-01_2_C11,HEPG2-01,2,C11,18,positive_control,train/HEPG2-01/Plate2/C11_s2,HEPG2
72,HEPG2-01_2_C15,HEPG2-01,2,C15,24,positive_control,train/HEPG2-01/Plate2/C15_s1,HEPG2
73,HEPG2-01_2_C15,HEPG2-01,2,C15,24,positive_control,train/HEPG2-01/Plate2/C15_s2,HEPG2
74,HEPG2-01_2_C19,HEPG2-01,2,C19,7,positive_control,train/HEPG2-01/Plate2/C19_s1,HEPG2
75,HEPG2-01_2_C19,HEPG2-01,2,C19,7,positive_control,train/HEPG2-01/Plate2/C19_s2,HEPG2
76,HEPG2-01_2_C22,HEPG2-01,2,C22,3,positive_control,train/HEPG2-01/Plate2/C22_s1,HEPG2
77,HEPG2-01_2_C22,HEPG2-01,2,C22,3,positive_control,train/HEPG2-01/Plate2/C22_s2,HEPG2
78,HEPG2-01_2_F03,HEPG2-01,2,F03,19,positive_control,train/HEPG2-01/Plate2/F03_s1,HEPG2
79,HEPG2-01_2_F03,HEPG2-01,2,F03,19,positive_control,train/HEPG2-01/Plate2/F03_s2,HEPG2
80,HEPG2-01_2_F07,HEPG2-01,2,F07,28,positive_control,train/HEPG2-01/Plate2/F07_s1,HEPG2
81,HEPG2-01_2_F07,HEPG2-01,2,F07,28,positive_control,train/HEPG2-01/Plate2/F07_s2,HEPG2
82,HEPG2-01_2_F11,HEPG2-01,2,F11,14,positive_control,train/HEPG2-01/Plate2/F11_s1,HEPG2
83,HEPG2-01_2_F11,HEPG2-01,2,F11,14,positive_control,train/HEPG2-01/Plate2/F11_s2,HEPG2
84,HEPG2-01_2_F15,HEPG2-01,2,F15,5,positive_control,train/HEPG2-01/Plate2/F15_s1,HEPG2
85,HEPG2-01_2_F15,HEPG2-01,2,F15,5,positive_control,train/HEPG2-01/Plate2/F15_s2,HEPG2
86,HEPG2-01_2_F19,HEPG2-01,2,F19,2,positive_control,train/HEPG2-01/Plate2/F19_s1,HEPG2
87,HEPG2-01_2_F19,HEPG2-01,2,F19,2,positive_control,train/HEPG2-01/Plate2/F19_s2,HEPG2
88,HEPG2-01_2_F22,HEPG2-01,2,F22,23,positive_control,train/HEPG2-01/Plate2/F22_s1,HEPG2
89,HEPG2-01_2_F22,HEPG2-01,2,F22,23,positive_control,train/HEPG2-01/Plate2/F22_s2,HEPG2
90,HEPG2-01_2_H03,HEPG2-01,2,H03,0,positive_control,train/HEPG2-01/Plate2/H03_s1,HEPG2
91,HEPG2-01_2_H03,HEPG2-01,2,H03,0,positive_control,train/HEPG2-01/Plate2/H03_s2,HEPG2
92,HEPG2-01_2_H07,HEPG2-01,2,H07,15,positive_control,train/HEPG2-01/Plate2/H07_s1,HEPG2
93,HEPG2-01_2_H07,HEPG2-01,2,H07,15,positive_control,train/HEPG2-01/Plate2/H07_s2,HEPG2
94,HEPG2-01_2_H11,HEPG2-01,2,H11,22,positive_control,train/HEPG2-01/Plate2/H11_s1,HEPG2
95,HEPG2-01_2_H11,HEPG2-01,2,H11,22,positive_control,train/HEPG2-01/Plate2/H11_s2,HEPG2
96,HEPG2-01_2_H15,HEPG2-01,2,H15,29,positive_control,train/HEPG2-01/Plate2/H15_s1,HEPG2
97,HEPG2-01_2_H15,HEPG2-01,2,H15,29,positive_control,train/HEPG2-01/Plate2/H15_s2,HEPG2
98,HEPG2-01_2_H19,HEPG2-01,2,H19,4,positive_control,train/HEPG2-01/Plate2/H19_s1,HEPG2
99,HEPG2-01_2_H19,HEPG2-01,2,H19,4,positive_control,train/HEPG2-01/Plate2/H19_s2,HEPG2
100,HEPG2-01_2_H22,HEPG2-01,2,H22,25,positive_control,train/HEPG2-01/Plate2/H22_s1,HEPG2
101,HEPG2-01_2_H22,HEPG2-01,2,H22,25,positive_control,train/HEPG2-01/Plate2/H22_s2,HEPG2
102,HEPG2-01_2_J03,HEPG2-01,2,J03,21,positive_control,train/HEPG2-01/Plate2/J03_s1,HEPG2
103,HEPG2-01_2_J03,HEPG2-01,2,J03,21,positive_control,train/HEPG2-01/Plate2/J03_s2,HEPG2
104,HEPG2-01_2_J07,HEPG2-01,2,J07,27,positive_control,train/HEPG2-01/Plate2/J07_s1,HEPG2
105,HEPG2-01_2_J07,HEPG2-01,2,J07,27,positive_control,train/HEPG2-01/Plate2/J07_s2,HEPG2
106,HEPG2-01_2_J11,HEPG2-01,2,J11,1,positive_control,train/HEPG2-01/Plate2/J11_s1,HEPG2
107,HEPG2-01_2_J11,HEPG2-01,2,J11,1,positive_control,train/HEPG2-01/Plate2/J11_s2,HEPG2
108,HEPG2-01_2_J15,HEPG2-01,2,J15,12,positive_control,train/HEPG2-01/Plate2/J15_s1,HEPG2
109,HEPG2-01_2_J15,HEPG2-01,2,J15,12,positive_control,train/HEPG2-01/Plate2/J15_s2,HEPG2
110,HEPG2-01_2_J19,HEPG2-01,2,J19,11,positive_control,train/HEPG2-01/Plate2/J19_s1,HEPG2
111,HEPG2-01_2_J19,HEPG2-01,2,J19,11,positive_control,train/HEPG2-01/Plate2/J19_s2,HEPG2
112,HEPG2-01_2_J22,HEPG2-01,2,J22,17,positive_control,train/HEPG2-01/Plate2/J22_s1,HEPG2
113,HEPG2-01_2_J22,HEPG2-01,2,J22,17,positive_control,train/HEPG2-01/Plate2/J22_s2,HEPG2
114,HEPG2-01_2_M03,HEPG2-01,2,M03,13,positive_control,train/HEPG2-01/Plate2/M03_s1,HEPG2
115,HEPG2-01_2_M03,HEPG2-01,2,M03,13,positive_control,train/HEPG2-01/Plate2/M03_s2,HEPG2
116,HEPG2-01_2_M07,HEPG2-01,2,M07,20,positive_control,train/HEPG2-01/Plate2/M07_s1,HEPG2
117,HEPG2-01_2_M07,HEPG2-01,2,M07,20,positive_control,train/HEPG2-01/Plate2/M07_s2,HEPG2
118,HEPG2-01_2_M11,HEPG2-01,2,M11,6,positive_control,train/HEPG2-01/Plate2/M11_s1,HEPG2
119,HEPG2-01_2_M11,HEPG2-01,2,M11,6,positive_control,train/HEPG2-01/Plate2/M11_s2,HEPG2
120,HEPG2-01_2_M15,HEPG2-01,2,M15,9,positive_control,train/HEPG2-01/Plate2/M15_s1,HEPG2
121,HEPG2-01_2_M15,HEPG2-01,2,M15,9,positive_control,train/HEPG2-01/Plate2/M15_s2,HEPG2
122,HEPG2-01_2_M19,HEPG2-01,2,M19,16,positive_control,train/HEPG2-01/Plate2/M19_s1,HEPG2
123,HEPG2-01_2_M19,HEPG2-01,2,M19,16,positive_control,train/HEPG2-01/Plate2/M19_s2,HEPG2
124,HEPG2-01_2_M22,HEPG2-01,2,M22,8,positive_control,train/HEPG2-01/Plate2/M22_s1,HEPG2
125,HEPG2-01_2_M22,HEPG2-01,2,M22,8,positive_control,train/HEPG2-01/Plate2/M22_s2,HEPG2
126,HEPG2-01_3_B02,HEPG2-01,3,B02,30,negative_control,train/HEPG2-01/Plate3/B02_s1,HEPG2
127,HEPG2-01_3_B02,HEPG2-01,3,B02,30,negative_control,train/HEPG2-01/Plate3/B02_s2,HEPG2
128,HEPG2-01_3_C03,HEPG2-01,3,C03,26,positive_control,train/HEPG2-01/Plate3/C03_s1,HEPG2
129,HEPG2-01_3_C03,HEPG2-01,3,C03,26,positive_control,train/HEPG2-01/Plate3/C03_s2,HEPG2
130,HEPG2-01_3_C07,HEPG2-01,3,C07,21,positive_control,train/HEPG2-01/Plate3/C07_s1,HEPG2
131,HEPG2-01_3_C07,HEPG2-01,3,C07,21,positive_control,train/HEPG2-01/Plate3/C07_s2,HEPG2
132,HEPG2-01_3_C11,HEPG2-01,3,C11,8,positive_control,train/HEPG2-01/Plate3/C11_s1,HEPG2
133,HEPG2-01_3_C11,HEPG2-01,3,C11,8,positive_control,train/HEPG2-01/Plate3/C11_s2,HEPG2
134,HEPG2-01_3_C15,HEPG2-01,3,C15,6,positive_control,train/HEPG2-01/Plate3/C15_s1,HEPG2
135,HEPG2-01_3_C15,HEPG2-01,3,C15,6,positive_control,train/HEPG2-01/Plate3/C15_s2,HEPG2
136,HEPG2-01_3_C19,HEPG2-01,3,C19,25,positive_control,train/HEPG2-01/Plate3/C19_s1,HEPG2
137,HEPG2-01_3_C19,HEPG2-01,3,C19,25,positive_control,train/HEPG2-01/Plate3/C19_s2,HEPG2
138,HEPG2-01_3_C22,HEPG2-01,3,C22,18,positive_control,train/HEPG2-01/Plate3/C22_s1,HEPG2
139,HEPG2-01_3_C22,HEPG2-01,3,C22,18,positive_control,train/HEPG2-01/Plate3/C22_s2,HEPG2
140,HEPG2-01_3_F03,HEPG2-01,3,F03,28,positive_control,train/HEPG2-01/Plate3/F03_s1,HEPG2
141,HEPG2-01_3_F03,HEPG2-01,3,F03,28,positive_control,train/HEPG2-01/Plate3/F03_s2,HEPG2
142,HEPG2-01_3_F07,HEPG2-01,3,F07,16,positive_control,train/HEPG2-01/Plate3/F07_s1,HEPG2
143,HEPG2-01_3_F07,HEPG2-01,3,F07,16,positive_control,train/HEPG2-01/Plate3/F07_s2,HEPG2
144,HEPG2-01_3_F11,HEPG2-01,3,F11,23,positive_control,train/HEPG2-01/Plate3/F11_s1,HEPG2
145,HEPG2-01_3_F11,HEPG2-01,3,F11,23,positive_control,train/HEPG2-01/Plate3/F11_s2,HEPG2
146,HEPG2-01_3_F15,HEPG2-01,3,F15,12,positive_control,train/HEPG2-01/Plate3/F15_s1,HEPG2
147,HEPG2-01_3_F15,HEPG2-01,3,F15,12,positive_control,train/HEPG2-01/Plate3/F15_s2,HEPG2
148,HEPG2-01_3_F19,HEPG2-01,3,F19,3,positive_control,train/HEPG2-01/Plate3/F19_s1,HEPG2
149,HEPG2-01_3_F19,HEPG2-01,3,F19,3,positive_control,train/HEPG2-01/Plate3/F19_s2,HEPG2
150,HEPG2-01_3_F22,HEPG2-01,3,F22,11,positive_control,train/HEPG2-01/Plate3/F22_s1,HEPG2
151,HEPG2-01_3_F22,HEPG2-01,3,F22,11,positive_control,train/HEPG2-01/Plate3/F22_s2,HEPG2
152,HEPG2-01_3_H03,HEPG2-01,3,H03,27,positive_control,train/HEPG2-01/Plate3/H03_s1,HEPG2
153,HEPG2-01_3_H03,HEPG2-01,3,H03,27,positive_control,train/HEPG2-01/Plate3/H03_s2,HEPG2
154,HEPG2-01_3_H07,HEPG2-01,3,H07,9,positive_control,train/HEPG2-01/Plate3/H07_s1,HEPG2
155,HEPG2-01_3_H07,HEPG2-01,3,H07,9,positive_control,train/HEPG2-01/Plate3/H07_s2,HEPG2
156,HEPG2-01_3_H11,HEPG2-01,3,H11,4,positive_control,train/HEPG2-01/Plate3/H11_s1,HEPG2
157,HEPG2-01_3_H11,HEPG2-01,3,H11,4,positive_control,train/HEPG2-01/Plate3/H11_s2,HEPG2
158,HEPG2-01_3_H15,HEPG2-01,3,H15,20,positive_control,train/HEPG2-01/Plate3/H15_s1,HEPG2
159,HEPG2-01_3_H15,HEPG2-01,3,H15,20,positive_control,train/HEPG2-01/Plate3/H15_s2,HEPG2
160,HEPG2-01_3_H19,HEPG2-01,3,H19,1,positive_control,train/HEPG2-01/Plate3/H19_s1,HEPG2
161,HEPG2-01_3_H19,HEPG2-01,3,H19,1,positive_control,train/HEPG2-01/Plate3/H19_s2,HEPG2
162,HEPG2-01_3_H22,HEPG2-01,3,H22,13,positive_control,train/HEPG2-01/Plate3/H22_s1,HEPG2
163,HEPG2-01_3_H22,HEPG2-01,3,H22,13,positive_control,train/HEPG2-01/Plate3/H22_s2,HEPG2
164,HEPG2-01_3_J03,HEPG2-01,3,J03,29,positive_control,train/HEPG2-01/Plate3/J03_s1,HEPG2
165,HEPG2-01_3_J03,HEPG2-01,3,J03,29,positive_control,train/HEPG2-01/Plate3/J03_s2,HEPG2
166,HEPG2-01_3_J07,HEPG2-01,3,J07,22,positive_control,train/HEPG2-01/Plate3/J07_s1,HEPG2
167,HEPG2-01_3_J07,HEPG2-01,3,J07,22,positive_control,train/HEPG2-01/Plate3/J07_s2,HEPG2
168,HEPG2-01_3_J11,HEPG2-01,3,J11,15,positive_control,train/HEPG2-01/Plate3/J11_s1,HEPG2
169,HEPG2-01_3_J11,HEPG2-01,3,J11,15,positive_control,train/HEPG2-01/Plate3/J11_s2,HEPG2
170,HEPG2-01_3_J15,HEPG2-01,3,J15,24,positive_control,train/HEPG2-01/Plate3/J15_s1,HEPG2
171,HEPG2-01_3_J15,HEPG2-01,3,J15,24,positive_control,train/HEPG2-01/Plate3/J15_s2,HEPG2
172,HEPG2-01_3_J19,HEPG2-01,3,J19,14,positive_control,train/HEPG2-01/Plate3/J19_s1,HEPG2
173,HEPG2-01_3_J19,HEPG2-01,3,J19,14,positive_control,train/HEPG2-01/Plate3/J19_s2,HEPG2
174,HEPG2-01_3_J22,HEPG2-01,3,J22,7,positive_control,train/HEPG2-01/Plate3/J22_s1,HEPG2
175,HEPG2-01_3_J22,HEPG2-01,3,J22,7,positive_control,train/HEPG2-01/Plate3/J22_s2,HEPG2
176,HEPG2-01_3_M03,HEPG2-01,3,M03,19,positive_control,train/HEPG2-01/Plate3/M03_s1,HEPG2
177,HEPG2-01_3_M03,HEPG2-01,3,M03,19,positive_control,train/HEPG2-01/Plate3/M03_s2,HEPG2
178,HEPG2-01_3_M07,HEPG2-01,3,M07,0,positive_control,train/HEPG2-01/Plate3/M07_s1,HEPG2
179,HEPG2-01_3_M07,HEPG2-01,3,M07,0,positive_control,train/HEPG2-01/Plate3/M07_s2,HEPG2
180,HEPG2-01_3_M11,HEPG2-01,3,M11,5,positive_control,train/HEPG2-01/Plate3/M11_s1,HEPG2
181,HEPG2-01_3_M11,HEPG2-01,3,M11,5,positive_control,train/HEPG2-01/Plate3/M11_s2,HEPG2
182,HEPG2-01_3_M15,HEPG2-01,3,M15,10,positive_control,train/HEPG2-01/Plate3/M15_s1,HEPG2
183,HEPG2-01_3_M15,HEPG2-01,3,M15,10,positive_control,train/HEPG2-01/Plate3/M15_s2,HEPG2
184,HEPG2-01_3_M19,HEPG2-01,3,M19,2,positive_control,train/HEPG2-01/Plate3/M19_s1,HEPG2
185,HEPG2-01_3_M19,HEPG2-01,3,M19,2,positive_control,train/HEPG2-01/Plate3/M19_s2,HEPG2
186,HEPG2-01_3_M22,HEPG2-01,3,M22,17,positive_control,train/HEPG2-01/Plate3/M22_s1,HEPG2
187,HEPG2-01_3_M22,HEPG2-01,3,M22,17,positive_control,train/HEPG2-01/Plate3/M22_s2,HEPG2
188,HEPG2-01_4_B02,HEPG2-01,4,B02,30,negative_control,train/HEPG2-01/Plate4/B02_s1,HEPG2
189,HEPG2-01_4_B02,HEPG2-01,4,B02,30,negative_control,train/HEPG2-01/Plate4/B02_s2,HEPG2
190,HEPG2-01_4_C03,HEPG2-01,4,C03,17,positive_control,train/HEPG2-01/Plate4/C03_s1,HEPG2
191,HEPG2-01_4_C03,HEPG2-01,4,C03,17,positive_control,train/HEPG2-01/Plate4/C03_s2,HEPG2
192,HEPG2-01_4_C07,HEPG2-01,4,C07,21,positive_control,train/HEPG2-01/Plate4/C07_s1,HEPG2
193,HEPG2-01_4_C07,HEPG2-01,4,C07,21,positive_control,train/HEPG2-01/Plate4/C07_s2,HEPG2
194,HEPG2-01_4_C11,HEPG2-01,4,C11,9,positive_control,train/HEPG2-01/Plate4/C11_s1,HEPG2
195,HEPG2-01_4_C11,HEPG2-01,4,C11,9,positive_control,train/HEPG2-01/Plate4/C11_s2,HEPG2
196,HEPG2-01_4_C15,HEPG2-01,4,C15,25,positive_control,train/HEPG2-01/Plate4/C15_s1,HEPG2
197,HEPG2-01_4_C15,HEPG2-01,4,C15,25,positive_control,train/HEPG2-01/Plate4/C15_s2,HEPG2
198,HEPG2-01_4_C19,HEPG2-01,4,C19,7,positive_control,train/HEPG2-01/Plate4/C19_s1,HEPG2
199,HEPG2-01_4_C19,HEPG2-01,4,C19,7,positive_control,train/HEPG2-01/Plate4/C19_s2,HEPG2
200,HEPG2-01_4_C22,HEPG2-01,4,C22,5,positive_control,train/HEPG2-01/Plate4/C22_s1,HEPG2
201,HEPG2-01_4_C22,HEPG2-01,4,C22,5,positive_control,train/HEPG2-01/Plate4/C22_s2,HEPG2
202,HEPG2-01_4_F03,HEPG2-01,4,F03,8,positive_control,train/HEPG2-01/Plate4/F03_s1,HEPG2
203,HEPG2-01_4_F03,HEPG2-01,4,F03,8,positive_control,train/HEPG2-01/Plate4/F03_s2,HEPG2
204,HEPG2-01_4_F07,HEPG2-01,4,F07,24,positive_control,train/HEPG2-01/Plate4/F07_s1,HEPG2
205,HEPG2-01_4_F07,HEPG2-01,4,F07,24,positive_control,train/HEPG2-01/Plate4/F07_s2,HEPG2
206,HEPG2-01_4_F11,HEPG2-01,4,F11,11,positive_control,train/HEPG2-01/Plate4/F11_s1,HEPG2
207,HEPG2-01_4_F11,HEPG2-01,4,F11,11,positive_control,train/HEPG2-01/Plate4/F11_s2,HEPG2
208,HEPG2-01_4_F15,HEPG2-01,4,F15,16,positive_control,train/HEPG2-01/Plate4/F15_s1,HEPG2
209,HEPG2-01_4_F15,HEPG2-01,4,F15,16,positive_control,train/HEPG2-01/Plate4/F15_s2,HEPG2
210,HEPG2-01_4_F19,HEPG2-01,4,F19,26,positive_control,train/HEPG2-01/Plate4/F19_s1,HEPG2
211,HEPG2-01_4_F19,HEPG2-01,4,F19,26,positive_control,train/HEPG2-01/Plate4/F19_s2,HEPG2
212,HEPG2-01_4_F22,HEPG2-01,4,F22,29,positive_control,train/HEPG2-01/Plate4/F22_s1,HEPG2
213,HEPG2-01_4_F22,HEPG2-01,4,F22,29,positive_control,train/HEPG2-01/Plate4/F22_s2,HEPG2
214,HEPG2-01_4_H03,HEPG2-01,4,H03,6,positive_control,train/HEPG2-01/Plate4/H03_s1,HEPG2
215,HEPG2-01_4_H03,HEPG2-01,4,H03,6,positive_control,train/HEPG2-01/Plate4/H03_s2,HEPG2
216,HEPG2-01_4_H07,HEPG2-01,4,H07,13,positive_control,train/HEPG2-01/Plate4/H07_s1,HEPG2
217,HEPG2-01_4_H07,HEPG2-01,4,H07,13,positive_control,train/HEPG2-01/Plate4/H07_s2,HEPG2
218,HEPG2-01_4_H11,HEPG2-01,4,H11,20,positive_control,train/HEPG2-01/Plate4/H11_s1,HEPG2
219,HEPG2-01_4_H11,HEPG2-01,4,H11,20,positive_control,train/HEPG2-01/Plate4/H11_s2,HEPG2
220,HEPG2-01_4_H15,HEPG2-01,4,H15,19,positive_control,train/HEPG2-01/Plate4/H15_s1,HEPG2
221,HEPG2-01_4_H15,HEPG2-01,4,H15,19,positive_control,train/HEPG2-01/Plate4/H15_s2,HEPG2
222,HEPG2-01_4_H19,HEPG2-01,4,H19,12,positive_control,train/HEPG2-01/Plate4/H19_s1,HEPG2
223,HEPG2-01_4_H19,HEPG2-01,4,H19,12,positive_control,train/HEPG2-01/Plate4/H19_s2,HEPG2
